Frame Rate:,29.9700000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,0.001259086188992731,0.0015965732087227414,0.0015965732087227414,0.0005841121495327102
2,00:00:00.067,0.0004543094496365524,0.0010903426791277258,0.0,0.00027258566978193146
3,00:00:00.100,0.0,0.0,0.0,0.0
4,00:00:00.133,0.0,0.0,0.0,0.0
5,00:00:00.167,0.0,0.0,0.0,0.0
6,00:00:00.200,0.0,0.0,0.0,0.0
7,00:00:00.234,0.0,0.0,0.0,0.0
8,00:00:00.267,0.0,0.0,0.0,0.0
9,00:00:00.300,0.0,0.0,0.0,0.0
10,00:00:00.334,0.0,0.0,0.0,0.0
11,00:00:00.367,0.0,0.0,0.0,0.0
12,00:00:00.400,0.0,0.0,0.0,0.0
13,00:00:00.434,0.0,0.0,0.0,0.0
14,00:00:00.467,0.0,0.0,0.0,0.0
15,00:00:00.501,0.0,0.0,0.0,0.0
16,00:00:00.534,0.0,0.0,0.0,0.0
17,00:00:00.567,0.0,0.0,0.0,0.0
18,00:00:00.601,0.0,0.0,0.0,0.0
19,00:00:00.634,0.0,0.0,0.0,0.0
20,00:00:00.667,0.0,0.0,0.0,0.0
21,00:00:00.701,0.0,0.0,0.0,0.0
22,00:00:00.734,0.0,0.0,0.0,0.0
23,00:00:00.767,0.0,0.0,0.0,0.0
24,00:00:00.801,0.0,0.0,0.0,0.0
25,00:00:00.834,0.0,0.0,0.0,0.0
26,00:00:00.868,0.0,0.0,0.0,0.0
27,00:00:00.901,0.0,0.0,0.0,0.0
28,00:00:00.934,0.0,0.0,0.0,0.0
29,00:00:00.968,0.0,0.0,0.0,0.0
30,00:00:01.001,0.0,0.0,0.0,0.0
31,00:00:01.034,0.0,0.0,0.0,0.0
32,00:00:01.068,0.0,0.0,0.0,0.0
33,00:00:01.101,0.0,0.0,0.0,0.0
34,00:00:01.134,0.0,0.0,0.0,0.0
35,00:00:01.168,0.0,0.0,0.0,0.0
36,00:00:01.201,0.0,0.0,0.0,0.0
37,00:00:01.235,0.0,0.0,0.0,0.0
38,00:00:01.268,0.0,0.0,0.0,0.0
39,00:00:01.301,0.0,0.0,0.0,0.0
40,00:00:01.335,0.0,0.0,0.0,0.0
41,00:00:01.368,0.0,0.0,0.0,0.0
42,00:00:01.401,0.0,0.0,0.0,0.0
43,00:00:01.435,0.0,0.0,0.0,0.0
44,00:00:01.468,0.0,0.0,0.0,0.0
45,00:00:01.502,0.0,0.0,0.0,0.0
46,00:00:01.535,0.0,0.0,0.0,0.0
47,00:00:01.568,0.0,0.0,0.0,0.0
48,00:00:01.602,0.0,0.0,0.0,0.0
49,00:00:01.635,0.0,0.0,0.0,0.0
50,00:00:01.668,0.0,0.0,0.0,0.0
51,00:00:01.702,0.0,0.0,0.0,0.0
52,00:00:01.735,0.0,0.0,0.0,0.0
53,00:00:01.768,0.0,0.0,0.0,0.0
54,00:00:01.802,0.0,0.0,0.0,0.0
55,00:00:01.835,0.0,0.0,0.0,0.0
56,00:00:01.869,0.0,0.0,0.0,0.0
57,00:00:01.902,0.0,0.0,0.0,0.0
58,00:00:01.935,0.0,0.0,0.0,0.0
59,00:00:01.969,0.0,0.0,0.0,0.0
60,00:00:02.002,0.0,0.0,0.0,0.0
61,00:00:02.035,0.0,0.0,0.0,0.0
62,00:00:02.069,0.0,0.0,0.0,0.0
63,00:00:02.102,0.0,0.0,0.0,0.0
64,00:00:02.135,0.0,0.0,0.0,0.0
65,00:00:02.169,0.0,0.0,0.0,0.0
66,00:00:02.202,0.0,0.0,0.0,0.0
67,00:00:02.236,0.0,0.0,0.0,0.0
68,00:00:02.269,0.0,0.0,0.0,0.0
69,00:00:02.302,0.0,0.0,0.0,0.0
70,00:00:02.336,0.0,0.0,0.0,0.0
71,00:00:02.369,0.0,0.0,0.0,0.0
72,00:00:02.402,0.0,0.0,0.0,0.0
73,00:00:02.436,0.0,0.0,0.0,0.0
74,00:00:02.469,0.0,0.0,0.0,0.0
75,00:00:02.503,0.0,0.0,0.0,0.0
76,00:00:02.536,0.0,0.0,0.0,0.0
77,00:00:02.569,0.0,0.0,0.0,0.0
78,00:00:02.603,0.0,0.0,0.0,0.0
79,00:00:02.636,0.0,0.0,0.0,0.0
80,00:00:02.669,0.0,0.0,0.0,0.0
81,00:00:02.703,0.0,0.0,0.0,0.0
82,00:00:02.736,0.0,0.0,0.0,0.0
83,00:00:02.769,0.0,0.0,0.0,0.0
84,00:00:02.803,0.0,0.0,0.0,0.0
85,00:00:02.836,0.0,0.0,0.0,0.0
86,00:00:02.870,0.0029724818276220147,0.0,0.008917445482866044,0.0
87,00:00:02.903,0.0014148494288681206,0.0,0.004244548286604362,0.0
88,00:00:02.936,0.0,0.0,0.0,0.0
89,00:00:02.970,0.0,0.0,0.0,0.0
90,00:00:03.003,0.0,0.0,0.0,0.0
91,00:00:03.036,0.0,0.0,0.0,0.0
92,00:00:03.070,0.2514148494288681,0.06456386292834891,0.35011682242990655,0.3395638629283489
93,00:00:03.103,0.7802959501557633,0.4491043613707165,1.038979750778816,0.852803738317757
94,00:00:03.136,0.001388888888888889,0.0035046728971962616,0.0005841121495327102,7.788161993769471e-05
95,00:00:03.170,28.04383437175493,79.13633177570094,2.5708722741433023,2.424299065420561
96,00:00:03.203,0.8462097611630321,1.0072429906542055,0.9723130841121496,0.5590732087227415
97,00:00:03.237,9.336682242990653,23.08045171339564,2.6478582554517134,2.281736760124611
98,00:00:03.270,6.642406542056075,16.45669781931464,1.044080996884735,2.4264408099688475
99,00:00:03.303,1.2041796469366561,2.1566588785046727,0.944898753894081,0.5109813084112149
100,00:00:03.337,0.005244029075804776,0.009813084112149532,0.002803738317757009,0.003115264797507788
101,00:00:03.370,1.3119029075804776,1.553582554517134,1.838278816199377,0.5438473520249221
102,00:00:03.403,2.7000259605399797,5.9,0.9805685358255452,1.2195093457943926
103,00:00:03.437,0.4733904465212877,0.41935358255451716,0.7760124610591901,0.22480529595015578
104,00:00:03.470,0.00048026998961578403,0.000778816199376947,0.00046728971962616824,0.00019470404984423675
105,00:00:03.504,0.0,0.0,0.0,0.0
106,00:00:03.537,0.0,0.0,0.0,0.0
107,00:00:03.570,0.0,0.0,0.0,0.0
108,00:00:03.604,0.0,0.0,0.0,0.0
109,00:00:03.637,0.0,0.0,0.0,0.0
110,00:00:03.670,0.0,0.0,0.0,0.0
111,00:00:03.704,9.424857217030114,2.223520249221184,20.888317757009347,5.162733644859813
112,00:00:03.737,0.03093198338525441,0.06335669781931465,0.004283489096573208,0.025155763239875388
113,00:00:03.770,11.809592419522327,4.81183800623053,23.747118380062304,6.869820872274143
114,00:00:03.804,11.38744807892004,1.2437305295950156,23.981503115264797,8.93711059190031
115,00:00:03.837,12.28814901349948,2.0311915887850467,23.74088785046729,11.092367601246107
